age,gender,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,sleep_hours,screen_time_hours,internet_quality,mental_health_score,focus_index,burnout_level,productivity_score,exam_score
17,Male,3.97,5.08,2.84,0.07,2.59,6.8,4.4,Average,1,28,38,19.83,13.29
18,Male,3.43,1.43,3.58,3.17,0.93,6.12,4.15,Good,1,12,44,17.17,3.74
17,Female,6.51,0.11,2.46,3.71,0.13,7.65,7.33,Good,7,34,22,55.63,33.1
16,Male,6.11,4.29,2.55,3.02,0.88,5.35,3.42,Poor,5,41,65,45.82,24.16
18,Male,4.44,2.19,2.3,1.19,1.02,8.61,6.65,Poor,1,28,27,36.0,29.36
20,Female,4.83,1.44,3.52,3.13,0.93,7.35,6.17,Poor,3,28,39,27.62,19.32
24,Female,2.52,2.14,0.07,0.43,2.97,5.93,3.6,Poor,7,31,61,20.19,16.83
16,Other,8.47,0.67,2.96,0.73,0.72,8.55,5.21,Poor,6,43,20,74.58,67.86
23,Male,5.49,4.93,0.71,2.71,0.86,6.4,5.61,Average,3,25,36,42.5,27.15
16,Female,8.53,4.04,2.82,1.82,3.95,7.68,7.62,Good,1,30,63,43.21,22.65
21,Male,6.0,3.12,3.51,1.5,2.24,7.37,6.66,Poor,1,34,51,29.8,26.14
19,Other,0.12,0.2,1.05,3.7,2.04,10.27,1.81,Good,5,11,11,26.09,21.33
19,Male,5.5,0.18,1.86,2.0,1.9,7.69,2.19,Good,4,21,36,31.8,21.31
20,Male,6.87,1.78,1.66,2.16,0.97,4.61,6.51,Poor,8,50,45,71.25,58.78
24,Other,2.98,2.61,1.8,4.83,0.69,8.73,11.73,Average,8,32,25,32.66,29.23
22,Other,3.83,1.11,0.22,4.46,0.13,6.86,7.74,Average,1,16,47,23.22,1.83
25,Male,4.81,2.75,0.95,1.71,0.22,7.05,8.79,Average,8,54,51,49.26,44.85
18,Other,5.86,2.43,0.51,2.67,3.43,7.05,11.27,Average,4,21,37,38.17,31.47
18,Other,3.37,3.6,0.89,4.5,2.0,8.7,9.76,Poor,1,7,33,8.39,2.87
18,Other,1.86,2.78,0.71,3.13,0.83,6.64,5.77,Average,2,23,23,12.54,5.88
19,Other,4.76,0.32,2.43,3.53,0.21,7.22,6.33,Poor,4,26,49,32.86,20.44
24,Other,4.66,4.52,1.88,1.74,2.09,9.96,3.25,Poor,8,39,38,28.13,34.62
21,Other,6.48,3.17,0.15,1.74,1.02,5.78,5.26,Good,4,29,68,40.74,22.3
24,Female,4.13,2.95,0.61,1.22,2.48,7.62,8.87,Good,1,22,30,32.17,13.23
23,Other,6.14,4.56,1.14,3.47,0.2,7.87,6.32,Average,3,39,35,40.94,34.58
21,Female,2.99,4.13,1.66,2.03,0.05,5.9,7.75,Good,0,20,48,19.3,11.06
19,Other,7.91,5.11,2.5,2.14,1.48,8.02,9.48,Good,1,26,62,34.25,18.83
24,Female,0.48,1.79,3.33,4.48,4.42,6.18,8.68,Average,2,10,40,0.78,3.75
21,Male,0.78,2.39,0.4,0.21,0.55,7.44,5.68,Good,6,33,13,41.9,30.73
22,Other,4.18,2.91,0.44,3.75,0.46,8.36,8.18,Good,7,44,31,66.98,58.01
21,Female,4.32,2.06,0.83,3.04,4.15,6.15,7.77,Poor,8,28,55,48.69,25.58
16,Male,5.67,2.32,2.95,3.37,2.06,9.46,13.04,Average,10,39,50,67.28,44.31
18,Other,4.24,2.14,0.01,5.32,3.37,9.75,5.47,Average,8,27,13,62.65,48.43
20,Male,5.19,4.69,3.81,1.55,0.16,7.52,9.48,Poor,2,29,48,31.25,26.36
18,Male,7.72,3.48,0.51,5.68,4.49,7.86,2.3,Average,6,43,44,60.38,49.23
16,Other,5.95,4.18,3.07,0.41,3.77,7.24,1.72,Poor,6,40,24,49.44,50.25
16,Male,4.72,2.27,1.15,3.42,2.68,9.58,0.72,Average,1,22,19,29.96,26.87
19,Female,5.79,1.3,0.86,2.58,2.72,6.81,7.66,Average,5,12,7,37.79,37.83
18,Male,4.07,2.01,3.65,4.58,2.55,7.09,8.61,Average,3,7,35,22.98,35.87
22,Other,4.39,0.55,1.92,0.95,1.44,7.69,4.14,Average,5,16,0,19.94,22.05
16,Male,3.74,2.1,1.99,2.37,2.94,6.88,4.73,Poor,3,7,10,20.97,35.89
23,Male,6.23,1.08,1.94,1.19,2.81,4.18,5.26,Good,8,22,27,41.0,56.54
20,Male,5.09,2.32,2.13,5.05,3.89,8.71,7.36,Good,6,12,13,35.88,43.21
18,Male,3.4,3.45,3.37,4.93,2.42,9.21,8.04,Average,5,9,8,19.02,43.93
15,Other,5.46,3.03,4.45,3.25,1.29,8.19,6.72,Average,4,25,3,26.48,38.65
24,Other,3.56,0.92,3.55,3.01,0.93,5.54,9.39,Good,8,2,24,13.21,32.57
16,Other,2.03,2.83,2.53,3.05,3.31,7.57,4.87,Good,3,4,0,8.61,0.0
21,Male,1.34,2.55,2.43,0.57,3.56,8.33,6.19,Poor,10,11,14,23.13,22.83
20,Other,3.01,2.39,3.53,0.98,1.76,3.54,7.0,Average,2,8,45,12.61,23.48
17,Other,6.52,2.73,0.47,3.57,0.33,7.77,2.4,Good,8,19,0,33.09,44.59
19,Male,5.57,1.06,0.46,2.3,0.35,5.94,7.65,Good,7,13,11,32.74,32.28
23,Male,3.27,1.06,1.45,4.54,1.66,8.02,3.82,Poor,2,13,13,15.56,33.2
18,Male,2.61,3.56,0.6,3.44,1.75,9.5,9.44,Poor,3,1,5,12.67,17.43
24,Other,3.37,1.99,1.34,3.71,1.37,5.53,13.09,Good,10,12,31,19.66,63.86
18,Female,7.72,2.98,1.06,7.4,0.99,5.28,7.24,Average,9,16,33,33.88,66.72
15,Other,4.97,1.53,0.48,3.97,2.7,5.86,4.42,Poor,7,0,9,23.24,26.66
21,Male,3.8,0.18,2.23,2.76,0.34,8.25,8.56,Average,2,7,22,14.7,9.31
17,Male,5.29,0.94,1.64,3.64,0.71,7.62,9.27,Poor,7,18,1,31.99,61.51
19,Male,5.86,2.62,0.62,0.56,2.9,5.24,7.01,Good,6,16,10,40.03,55.73
17,Male,2.08,2.79,1.61,3.52,2.01,6.99,5.9,Average,5,2,12,9.46,14.5
19,Female,2.2,0.2,0.38,4.59,1.21,5.74,7.19,Average,9,8,17,19.61,31.48
23,Female,4.89,2.15,2.9,1.59,2.65,8.06,10.18,Average,4,11,23,26.24,39.5
16,Female,3.76,0.15,0.4,3.1,0.84,6.12,9.44,Average,3,23,14,21.94,28.01
19,Other,2.41,1.35,1.71,2.12,0.69,7.41,7.4,Poor,5,6,0,15.64,12.04
16,Male,6.35,1.54,2.72,1.83,1.24,6.53,3.5,Good,1,25,1,39.02,49.18
18,Female,1.51,1.74,0.31,3.83,0.57,6.21,2.03,Average,9,6,0,13.11,21.88
16,Female,6.01,1.62,1.56,2.67,1.72,4.84,3.68,Poor,10,15,21,29.56,42.56
17,Female,5.4,2.03,1.22,3.08,1.07,5.81,6.35,Good,4,27,5,27.8,39.22
17,Other,3.2,2.43,1.43,1.99,1.61,6.61,5.96,Poor,1,22,0,23.65,20.97
18,Male,6.43,3.05,1.03,2.48,1.16,8.79,7.71,Average,9,20,4,29.51,56.27
15,Male,3.71,1.86,0.71,3.67,3.03,6.82,7.11,Poor,1,5,6,12.99,39.43
17,Other,6.26,1.71,0.6,0.58,2.03,5.46,7.57,Good,7,20,6,39.76,53.85
17,Male,5.24,1.91,0.23,5.0,0.48,5.21,10.09,Average,4,12,12,22.49,40.01
22,Female,7.67,2.65,4.81,3.73,1.92,5.67,5.0,Poor,10,36,32,49.15,66.92
19,Female,2.17,4.79,3.42,3.43,0.7,5.11,5.99,Good,5,5,28,8.38,17.83
17,Other,3.59,0.67,2.79,3.7,1.2,7.88,6.44,Poor,5,8,7,23.55,44.67
23,Other,3.99,3.1,3.02,3.79,0.73,7.21,14.42,Average,10,16,28,46.4,49.79
18,Female,6.12,2.65,0.82,1.7,2.86,7.14,8.62,Poor,2,17,0,33.98,41.52
15,Other,0.83,2.05,2.37,3.73,1.6,6.25,6.02,Good,7,2,8,13.59,29.23
19,Female,4.66,3.67,2.18,1.96,1.28,8.61,7.82,Good,1,9,7,24.87,9.12
20,Other,0.47,1.53,2.83,2.47,0.19,6.98,4.92,Average,5,1,13,1.3,6.22
19,Other,2.17,1.16,2.59,1.99,2.04,5.18,9.14,Poor,7,3,23,15.21,31.75
21,Female,6.41,1.01,1.92,6.18,0.86,6.65,6.64,Good,10,18,16,22.92,67.69
16,Female,2.82,0.15,2.64,2.15,1.05,6.02,7.16,Poor,2,1,13,9.74,17.14
23,Other,4.48,1.11,1.93,2.37,0.27,6.54,6.18,Average,1,8,7,22.95,35.97
19,Other,5.77,2.69,2.04,2.2,1.13,6.48,3.87,Good,5,14,26,24.78,35.54
17,Male,1.91,3.85,2.11,4.87,0.89,7.42,5.21,Good,10,6,22,27.69,37.55
18,Other,5.81,2.56,2.53,1.57,2.22,8.0,7.68,Good,9,12,21,36.53,49.54
17,Female,6.3,4.12,3.58,4.94,1.41,6.29,2.17,Poor,3,18,15,31.22,45.73
16,Female,4.83,3.6,2.76,3.22,2.65,7.12,5.37,Poor,2,16,17,17.31,32.99
22,Other,6.11,2.14,2.86,1.85,1.07,7.17,6.02,Average,6,16,5,42.68,51.84
22,Male,6.14,3.2,1.14,1.59,0.69,8.79,1.58,Good,3,26,0,24.05,45.18
21,Male,8.07,3.19,1.36,4.14,1.12,7.04,13.34,Average,8,20,22,50.05,47.06
18,Male,7.75,2.67,1.9,1.6,3.55,7.62,9.39,Average,0,17,14,33.7,59.9
20,Other,5.71,2.24,4.34,5.24,2.37,6.01,5.92,Good,2,20,35,23.54,46.25
21,Other,4.25,2.26,1.67,4.84,3.33,6.67,7.77,Good,0,9,17,10.24,23.52
17,Female,2.76,3.21,2.61,3.41,3.13,7.41,4.46,Good,8,17,10,14.89,22.04
18,Male,0.15,0.98,0.72,1.48,3.64,6.06,6.64,Good,9,0,6,14.78,18.03
19,Female,2.7,3.75,0.24,3.16,2.65,6.51,8.57,Good,10,9,7,18.12,50.52
24,Other,4.99,3.55,3.66,1.3,1.85,8.28,6.35,Average,1,10,2,16.35,29.26
21,Female,2.43,2.49,1.11,2.98,1.47,6.14,1.08,Good,2,10,1,9.69,14.58
20,Male,0.62,1.04,1.29,0.68,3.69,8.7,1.71,Average,0,0,0,1.3,1.9
16,Female,5.21,5.25,1.55,4.93,1.79,6.23,7.28,Average,0,14,26,20.89,34.55
18,Female,2.56,1.05,1.81,2.0,3.39,7.36,10.34,Good,2,12,18,11.07,19.73
16,Other,5.92,1.76,1.19,2.43,0.96,8.22,7.36,Good,5,13,0,36.29,41.67
17,Other,5.04,1.58,0.22,1.52,0.09,5.1,6.31,Average,1,22,11,26.83,38.59
21,Other,7.02,1.25,0.72,4.34,2.02,8.25,6.79,Good,3,9,1,33.17,41.29
24,Male,2.28,0.28,3.14,4.79,2.45,8.67,5.57,Good,2,1,21,10.11,14.49
17,Female,2.78,1.36,1.18,5.01,2.67,9.11,9.29,Average,1,2,3,4.91,23.67
17,Other,4.78,2.99,0.8,5.73,2.54,6.29,7.2,Poor,3,17,29,14.86,26.46
16,Male,0.58,4.05,3.34,1.82,1.0,5.56,5.83,Good,4,0,13,7.17,1.88
21,Female,4.64,2.82,1.74,3.43,2.67,7.22,6.33,Poor,2,18,17,17.81,28.48
21,Other,7.74,1.78,3.66,4.59,1.69,6.39,2.81,Good,3,29,13,37.96,57.1
21,Male,6.34,2.3,1.0,3.15,1.5,6.54,5.58,Poor,9,17,1,34.59,41.01
22,Male,5.41,0.6,3.91,3.27,1.21,6.93,1.15,Good,7,9,20,31.33,45.01
16,Other,4.35,2.54,2.72,1.85,2.22,7.71,7.78,Average,4,14,1,19.61,50.22
19,Female,3.13,0.25,2.61,0.85,1.67,6.58,7.79,Poor,0,11,0,26.23,18.81
18,Female,11.17,1.46,2.89,3.65,1.2,6.14,2.69,Good,1,32,18,41.12,57.28
19,Other,5.46,2.82,2.01,2.87,1.71,8.48,12.95,Average,0,10,14,21.76,40.12
21,Male,4.16,1.14,1.84,6.13,2.2,5.11,1.49,Poor,5,12,29,23.11,44.73
22,Female,5.05,2.78,1.19,3.54,0.74,5.56,8.48,Poor,10,19,11,29.83,42.58
17,Other,4.62,2.29,1.38,4.2,2.63,5.21,5.88,Average,4,15,21,11.48,30.81
16,Other,4.93,2.13,2.13,2.47,2.57,6.8,5.31,Poor,7,12,12,21.31,40.44
19,Male,3.19,0.43,0.15,2.62,2.96,9.0,9.66,Good,5,9,5,21.23,30.62
17,Female,3.5,4.21,4.11,3.52,0.71,6.7,4.97,Good,7,17,26,17.63,31.81
21,Female,6.57,1.68,1.49,3.61,0.69,4.74,8.77,Poor,6,13,13,30.35,47.2
19,Male,6.11,1.65,2.52,5.08,0.51,8.21,5.43,Good,3,16,25,30.78,56.96
21,Other,2.87,1.97,0.13,3.4,2.67,6.15,7.7,Good,5,9,11,20.02,40.25
18,Other,6.55,2.04,2.01,4.91,2.61,6.18,9.18,Poor,9,17,34,40.55,51.74
15,Female,5.35,1.67,0.93,4.32,0.56,5.31,9.31,Good,6,9,32,18.03,42.37
17,Female,4.7,2.4,3.22,4.74,0.75,7.18,7.03,Average,3,11,26,17.83,35.75
17,Male,5.02,0.19,1.59,3.96,1.83,6.94,3.63,Average,7,5,12,26.3,51.69
16,Male,2.4,2.5,0.52,3.96,1.16,9.03,7.92,Good,6,11,5,11.6,25.55
19,Male,2.25,4.8,3.31,3.13,1.94,5.36,7.35,Poor,0,14,38,3.24,21.97
18,Male,3.65,2.92,3.43,3.4,0.1,5.78,3.92,Poor,4,7,14,14.06,45.16
21,Female,2.22,3.39,2.0,4.41,2.54,6.32,9.41,Average,8,0,30,20.49,17.42
20,Other,0.86,2.46,0.05,1.65,1.27,8.08,9.83,Average,9,0,1,10.23,14.06
20,Other,4.42,1.05,0.32,4.15,2.03,7.94,7.39,Average,4,9,5,21.7,43.95
21,Other,4.16,2.26,1.31,5.45,0.9,8.32,8.59,Average,6,6,11,20.23,29.32
19,Male,3.09,2.28,2.54,4.77,4.78,5.17,2.06,Average,3,4,4,18.3,1.3
17,Male,5.13,1.91,0.18,3.27,2.93,7.22,7.01,Poor,6,16,22,28.72,27.15
24,Other,2.94,2.6,1.17,3.26,3.47,5.04,10.11,Good,10,8,28,25.89,23.79
16,Male,4.43,2.25,0.72,2.31,0.71,8.09,3.94,Good,9,24,0,28.83,45.36
17,Female,7.52,1.13,1.02,2.82,1.28,6.68,7.24,Good,2,13,10,29.51,29.71
16,Other,5.97,0.13,3.36,5.65,0.65,6.93,3.71,Poor,3,13,11,21.11,32.02
18,Male,5.7,4.56,1.31,6.1,0.66,9.18,7.52,Average,8,17,6,22.2,29.71
21,Other,5.5,2.19,0.25,2.25,0.03,6.14,7.86,Good,1,19,12,27.88,28.24
18,Other,5.77,2.74,1.64,2.38,0.49,5.79,9.08,Good,9,6,17,43.47,51.92
19,Female,5.64,4.23,2.55,1.34,2.03,8.31,10.17,Average,5,21,14,30.53,47.88
17,Other,2.21,1.61,0.44,4.5,1.86,5.13,3.86,Poor,9,6,22,31.23,40.72
16,Other,3.71,0.6,1.07,3.6,4.01,7.1,11.27,Poor,8,11,35,30.09,33.28
20,Female,0.0,3.64,1.97,2.89,1.23,6.56,7.38,Good,10,0,25,4.8,12.9
20,Male,4.65,4.48,1.41,3.86,0.72,7.72,3.59,Average,9,18,0,41.06,41.23
19,Female,6.96,2.77,3.17,4.54,1.81,6.28,11.54,Average,7,23,24,32.79,39.53
22,Other,6.43,2.1,2.0,1.15,0.92,7.69,6.75,Average,9,20,1,44.34,70.32
16,Female,3.03,1.37,1.32,1.53,2.3,6.78,6.08,Good,4,0,7,12.25,11.67
17,Other,3.67,1.02,1.89,2.06,1.07,7.63,7.2,Average,3,7,0,27.55,30.19
22,Female,4.66,1.2,1.05,0.21,0.09,5.21,13.64,Average,6,17,10,39.05,55.51
19,Male,2.09,1.89,2.19,1.64,0.17,8.12,6.57,Poor,7,5,0,17.26,8.72
19,Other,4.99,1.45,0.37,3.65,1.48,7.39,5.03,Poor,6,11,11,21.19,32.88
21,Female,1.73,3.27,1.53,1.42,0.35,7.49,5.86,Average,1,18,0,12.68,3.8
21,Other,7.25,1.65,1.39,1.1,1.76,3.77,7.2,Poor,8,30,13,37.84,73.96
19,Male,6.2,2.38,2.87,5.27,1.75,6.32,11.12,Poor,10,20,23,38.11,51.91
20,Female,9.0,1.78,0.11,2.14,0.78,6.5,3.81,Good,7,34,0,48.27,57.28
17,Female,5.61,2.49,3.01,3.28,1.96,6.44,6.95,Good,9,16,34,40.9,45.32
21,Other,1.55,2.82,2.9,2.68,2.82,6.94,4.41,Poor,2,3,13,5.24,11.3
17,Female,5.82,2.56,1.24,1.17,1.85,5.48,9.43,Good,3,18,14,36.44,41.11
19,Male,2.66,4.29,2.88,1.17,0.8,5.18,5.16,Good,2,18,21,16.6,19.01
19,Other,6.7,2.63,1.08,3.47,0.23,8.39,2.27,Good,1,24,1,37.09,41.31
20,Other,3.51,2.78,2.22,1.46,2.65,6.54,5.56,Poor,1,7,22,17.5,25.02
21,Male,4.73,0.74,2.47,3.45,0.32,7.3,6.81,Good,7,8,16,29.05,27.75
15,Other,4.5,3.04,1.91,2.54,1.37,5.95,9.55,Average,9,13,8,34.16,28.4
16,Male,4.36,2.54,4.0,4.77,1.84,10.11,6.39,Average,6,8,18,35.83,51.92
17,Other,4.42,1.31,2.86,2.13,0.28,6.65,6.99,Average,7,15,1,29.76,43.16
23,Other,5.08,0.34,2.09,1.19,3.24,10.07,3.17,Average,6,20,0,39.33,56.64
19,Other,6.27,1.99,2.15,3.96,1.28,6.73,5.66,Poor,5,16,24,29.04,40.09
17,Male,4.18,2.47,2.17,2.34,1.85,8.01,6.05,Good,4,21,9,19.26,42.19
20,Female,4.41,1.56,0.1,4.46,2.03,7.15,5.16,Poor,0,12,6,19.34,28.65
22,Female,5.47,0.77,3.98,4.0,2.32,9.19,8.39,Average,9,11,38,35.0,50.9
22,Female,6.43,2.81,0.8,2.35,2.64,8.19,10.17,Average,10,24,9,42.7,47.51
16,Female,3.71,3.15,1.59,3.38,1.19,7.09,3.37,Poor,5,5,0,22.48,17.7
22,Male,4.2,1.43,1.73,1.98,2.04,6.04,9.18,Good,0,4,2,5.6,16.54
17,Male,3.49,1.63,3.37,2.44,0.99,6.05,10.43,Good,6,13,22,29.26,26.74
16,Female,6.43,1.2,2.8,4.58,1.02,7.99,9.71,Poor,5,7,38,26.21,36.01
18,Other,3.67,1.92,3.97,4.02,1.82,7.67,3.56,Average,1,11,7,21.55,32.08
15,Male,4.72,2.13,1.33,1.5,1.52,7.58,3.22,Good,4,8,0,28.95,35.99
22,Female,5.12,1.85,3.95,6.17,1.82,7.36,7.7,Good,7,11,51,23.53,29.34
17,Other,5.46,1.88,0.72,2.68,1.95,7.36,8.27,Good,8,25,0,35.77,59.28
16,Female,7.93,0.57,2.01,2.93,0.83,6.56,1.11,Poor,0,20,0,41.85,59.55
22,Other,4.99,0.59,0.48,1.51,1.47,5.42,6.25,Poor,7,6,0,25.55,48.07
24,Female,8.21,1.42,0.72,5.09,0.42,7.56,7.12,Good,5,18,9,37.72,52.82
20,Female,0.49,2.24,1.24,3.6,0.64,7.93,8.85,Poor,8,0,2,12.91,16.73
22,Other,5.21,0.41,0.01,2.99,1.18,8.56,9.59,Average,9,11,1,40.22,50.01
22,Female,5.57,3.2,3.23,3.75,0.86,8.58,2.51,Poor,10,21,3,41.21,63.25
17,Male,7.93,3.73,2.61,3.82,0.72,6.39,7.04,Good,6,19,23,25.07,36.89
17,Male,2.48,1.65,0.32,3.49,1.86,7.43,5.18,Poor,5,15,10,26.56,41.93
20,Female,8.72,0.91,4.08,5.18,1.95,10.68,4.94,Good,8,21,9,49.28,59.95
19,Other,5.29,0.31,1.95,2.27,3.05,8.57,5.6,Good,0,23,0,26.59,37.52
21,Female,2.56,2.13,1.2,1.0,1.79,9.53,1.31,Average,9,19,0,23.47,43.82
21,Male,0.46,0.81,3.66,3.06,0.26,5.46,8.11,Poor,5,0,24,10.88,31.31
20,Other,1.46,1.61,2.16,2.45,1.73,8.8,3.45,Poor,6,11,1,19.34,27.23
16,Male,6.8,2.51,2.2,0.38,1.56,5.92,7.5,Good,9,34,4,36.08,51.52
15,Other,4.65,3.36,2.05,3.08,1.27,4.58,3.85,Average,7,20,25,30.31,37.39
19,Female,6.08,0.36,1.85,2.21,2.81,8.3,3.29,Average,2,10,7,28.46,35.26
22,Female,2.73,4.24,2.18,4.06,0.45,7.82,3.45,Poor,6,1,19,14.91,16.58
20,Other,7.81,2.24,2.7,4.71,0.97,8.11,8.86,Good,8,29,36,33.65,64.85
17,Female,6.86,2.6,1.37,0.54,0.06,6.07,8.8,Good,5,33,0,39.57,54.9
15,Female,6.3,0.35,2.23,1.52,1.75,6.33,5.5,Average,1,22,0,19.25,47.84
19,Other,5.38,2.03,0.01,3.16,0.21,5.65,6.47,Average,6,23,3,29.28,41.41
19,Other,5.02,2.08,2.28,3.72,0.56,6.48,5.77,Average,10,20,13,38.12,57.2
19,Female,5.05,3.0,2.49,3.09,1.55,7.61,8.48,Poor,2,21,16,31.08,43.33
